0;900г Пельмени Sибирская коллекция Русские замороженные;231.11;/ru/product/236821;http://static.tetramall.com/i/mp/100x100/32f/ec8/739/1338173.jpg
1;50г Мельница KOTANYI КОТАНИ Чеснок Травы Соль 2 степени помола x 2шт;188.87;/ru/product/195168;http://static.tetramall.com/i/mp/100x100/7e5/7eb/dbd/56374.jpg
2;250г Кофе Paulig PRESIDENT Паулиг ПРЕЗИДЕНТ натуральный жареный молотый;154.45;/ru/product/192614;http://static.tetramall.com/i/mp/100x100/b3b/d8f/5d9/55414.jpg
3;250г Кофе Paulig PRESIDENT Паулиг ПРЕЗИДЕНТ натуральный жареный в зернах 100% арабика;154.45;/ru/product/192594;http://static.tetramall.com/i/mp/100x100/91a/ab6/283/55377.jpg
4;100г Паштет SETRA СЕТРА из говядины x 2шт;88.86;/ru/product/196475;http://static.tetramall.com/i/mp/100x100/dc8/4ae/fef/63099.jpg
5;420г Кукуруза сладкая GreenRay Грин Рэй деликатесная консервированная;28.89;/ru/product/191941;http://static.tetramall.com/i/mp/100x100/1ad/d02/e5f/1351888.jpg
6;425г Горошек зеленый GreenRay Грин Рэй нежный из мозговых сортов консервированный;28.89;/ru/product/191919;http://static.tetramall.com/i/mp/100x100/0b9/4fa/a8c/54933.jpg
7;0,33л Минеральная питьевая вода PERRIER ПЕРЬЕ газированная Стекло x 4шт;222.20;/ru/product/250613;http://static.tetramall.com/i/mp/100x100/102/4b1/3f4/1337145.jpg
8;100х2г Чай черный Принцесса Канди цейлонский байховый в пакетиках для заваривания;66.66;/ru/product/192856;http://static.tetramall.com/i/mp/100x100/b25/245/030/55801.jpg
9;500г Закуска овощная Закарпатская  ВЕРЕС Консервы стерилизованные;56.66;/ru/product/195815;http://static.tetramall.com/i/mp/100x100/689/3a0/162/54234.jpg
10;90Г Пюре Ябл-Абрик-Сливки Фн                                 ФРУТОНЯНЯ;24.44;/ru/product/490832;http://static.tetramall.com/i/mp/100x100/ea0/07e/46f/1361341.jpg
11;90г Пюре яблочное ФРУТО НЯНЯ гипоаллергенное без добавления сахара для детского питания с 4 месяцев;24.44;/ru/product/490831;http://static.tetramall.com/i/mp/100x100/389/3e8/46c/1349802.jpg
12;190г Шпроты в масле RIGAS ZELTS RIGA GOLD РИЖСКОЕ ЗОЛОТО Ключ x 2шт;137.76;/ru/product/192045;http://static.tetramall.com/i/mp/100x100/619/311/7e1/1331965.jpg
13;850г Креветки королевские AGAMA АГАМА очищенные с хвостом замороженные;721.12;/ru/product/190398;http://static.tetramall.com/i/mp/100x100/79e/592/a29/61759.jpg
14;185г Соус Песто AGNESI Siciliana АГНЕСИ сицилийский;154.45;/ru/product/363635;http://static.tetramall.com/i/mp/100x100/068/b37/7de/1334130.jpg
15;1кг Колбаса Миланская КЛИНСКИЙ сырокопченая в вакуумной упаковке;665.57;/ru/product/197137;http://static.tetramall.com/i/mp/100x100/4a0/6f5/e8e/1347702.jpg
16;1кг Колбаса Миланская КЛИНСКИЙ сырокопченая в вакуумной упаковке;665.57;/ru/product/197097;http://static.tetramall.com/i/mp/100x100/03a/93f/e68/1347521.jpg
17;200г Чай Английский завтрак Riston Ристон;83.33;/ru/product/192691;http://static.tetramall.com/i/mp/100x100/0ff/64a/b31/72496.jpg
18;1л Газированный напиток ORANGINA ОРАНЖИНА Апельсин с мякотью Пластик;46.65;/ru/product/251689;http://static.tetramall.com/i/mp/100x100/b64/e05/0f2/70731.jpg
19;230г Соус CALVE КАЛЬВЕ Коктейль капля лимонного сока x 2шт;86.64;/ru/product/493619;http://static.tetramall.com/i/mp/100x100/3ec/e18/6f5/1354985.jpg
20;120мл Мороженое Nestle EXTREME Нестле ЭКСТРЕМ Фисташковое в вафельном рожке;28.89;/ru/product/236404;http://static.tetramall.com/i/mp/100x100/2e3/2da/3f7/59731.jpg
21;Кастинг Крем Глосс 700 Русый                                 LOREAL CASTING;216.67;/ru/product/335024;http://static.tetramall.com/i/mp/100x100/922/261/21c/1331455.jpg
22;1кг Мороженое Юбилейное Ванильное Русский холодъ;99.99;/ru/product/236354;http://static.tetramall.com/i/mp/100x100/4fd/5c6/99e/59768.jpg
23;1кг Мороженое Юбилейное  Шоколадное Русский холодъ;99.99;/ru/product/236353;http://static.tetramall.com/i/mp/100x100/007/f56/672/59771.jpg
24;250г Кофе молотый LavAzza Espresso Лавацца Эспрессо;298.90;/ru/product/192620;http://static.tetramall.com/i/mp/100x100/69c/1a2/a86/55421.jpg
25;0,6л Чай холодный Lipton Ice Tea Липтон Лимон x 12шт;413.20;/ru/product/252189;http://static.tetramall.com/i/mp/100x100/d97/6b3/be6/72687.jpg
26;180г Печенье Мария Любятово Янтарь x 2шт;44.42;/ru/product/199703;http://static.tetramall.com/i/mp/100x100/d36/e9d/eda/59160.jpg
27;5л Вода питьевая ШИШКИН ЛЕС негазированная;44.44;/ru/product/250612;http://static.tetramall.com/i/mp/100x100/099/841/adf/62952.jpg
28;120х1,5г Чай Greenfield Гринфилд Коллекция 30 вкусов чая в пакетиках для заваривания;298.90;/ru/product/199634;http://static.tetramall.com/i/mp/100x100/b38/ef5/f4c/56316.jpg
29;1кг Сосиски Молочные КЛИНСКИЙ ГОСТ Р 52196-2011;298.90;/ru/product/196621;http://static.tetramall.com/i/mp/100x100/112/7c4/594/1338404.jpg
30;32шт Гель капсулы Tide Тайд Альпийская свежесть;454.45;/ru/product/492486;http://static.tetramall.com/i/mp/100x100/73a/8a4/7da/1353056.jpg
31;32шт Гель капсулы Tide Тайд Весенние цветы;454.45;/ru/product/492484;http://static.tetramall.com/i/mp/100x100/905/879/77a/1353052.jpg
32;32шт Гель капсулы Tide Тайд Для стирки детских вещей;454.45;/ru/product/492488;http://static.tetramall.com/i/mp/100x100/650/4c2/792/1353054.jpg
